当前视频时间,累计通过车辆总数,1s内通过车辆总数,车辆通过平均速率
1.0秒,1,1,49.9km/h
2.1秒,3,2,49.3km/h
3.1秒,6,3,57.1km/h
4.1秒,9,3,58.2km/h
5.2秒,12,3,52.2km/h
6.2秒,12,0,0km/h
7.2秒,14,2,53.2km/h
8.3秒,16,2,52.6km/h
9.3秒,19,3,48.5km/h
10.3秒,20,1,48.3km/h
11.4秒,20,0,0km/h
12.4秒,23,3,46.8km/h
13.4秒,24,1,35.0km/h
14.5秒,26,2,58.5km/h
15.5秒,27,1,44.8km/h
16.5秒,28,1,46.8km/h
17.6秒,30,2,49.3km/h
18.6秒,30,0,0km/h
19.6秒,31,1,44.7km/h
20.7秒,31,0,0km/h
21.7秒,32,1,60.1km/h
22.7秒,33,1,55.6km/h
23.8秒,35,2,48.7km/h
24.8秒,35,0,0km/h
25.8秒,36,1,65.0km/h
26.9秒,37,1,49.5km/h
27.9秒,41,4,47.6km/h
28.9秒,45,4,54.1km/h
30.0秒,46,1,44.2km/h
31.0秒,47,1,57.5km/h
32.0秒,51,4,50.3km/h
